28;35;United States of America;office and administrative support;Employed for wages;NA;male;0;1;30;32000;0;1;NA;English;married or domestic partnership;0;1;some college credit, no degree;NA,,,,,
22;90;United States of America;food and beverage;Employed for wages;50000;male;NA;0;30;15000;0;1;  Front-End Web Developer;English;NA;20;2;some college credit, no degree;NA,,,,,
19;45;United States of America;finance;Employed for wages;NA;male;NA;0;20;48000;0;0;NA;English;NA;50;24;high school diploma or equivalent (GED);NA,,,,,,
26;45;United States of America;arts, entertainment, sports, or media;Employed for wages;65000;female;NA;0;20;43000;0;1;  Front-End Web Developer;English;NA;100;3;bachelor's degree;Cinematography And Film,,,
20;10;United States of America;education;Employed for wages;45000;female;NA;0;25;6000;1;1;Full-Stack Web Developer;Khmer;NA;1300;48;some college credit, no degree;NA,,,,,
34;45;United States of America;finance;Self-employed freelancer;NA;male;NA;0;5;40000;0;0;NA;English;NA;0;12;bachelor's degree;English,,,,,,
23;60;Singapore;software development;Employed for wages;NA;male;NA;0;8;32000;0;0;NA;Mandarin Chinese;NA;400;13;bachelor's degree;Computer Science,,,,,,
35;120;United Kingdom;office and administrative support;Employed for wages;NA;male;0;1;NA;40000;1;0;NA;Telugu;married or domestic partnership;0;NA;master's degree (non-professional);Education,,,,,,
33;0;United States of America;software development;Employed for wages;NA;male;NA;0;5;80000;0;0;NA;English;NA;3000;24;bachelor's degree;Business Administration,,,,,,
33;30;United States of America;NA;Employed for wages;NA;male;NA;0;20;80000;0;1;NA;English;NA;30;12;master's degree (non-professional);Business Administration,,,,,,
57;0;United States of America;NA;Self-employed business owner;NA;male;0;1;8;20000;0;1;NA;English;married or domestic partnership;400;360;bachelor's degree;Computer Science,,,,,,
23;NA;Bangladesh;NA;Not working and not looking for work;NA;male;NA;0;5;NA;0;NA;NA;Bengali;NA;0;12;some college credit, no degree;NA,,,,,
47;120;Canada;health care;Employed for wages;NA;male;NA;0;5;90000;0;1;NA;English;NA;500;36;bachelor's degree;Mechanical Engineering,,,,,,
NA;40;United States of America;software development;Employed for wages;NA;male;NA;0;5;NA;1;0;NA;English;NA;300;12;bachelor's degree;Business Administration,,,,,,
